City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahibadhoo,3.7833,72.9667,28.61,77,100,5.63,MV,1711447174
1,sarkand,45.41,79.9186,16.93,46,18,2.55,KZ,1711447175
2,hadibu,12.65,54.0333,29.95,66,1,4.06,YE,1711447175
3,walvis bay,-22.9575,14.5053,18.94,54,93,4.69,NA,1711446902
4,bethel,41.3712,-73.414,3.44,63,100,3.09,US,1711446927
5,pennagaram,12.1333,77.9,34.66,15,0,5.76,IN,1711447176
6,blackmans bay,-43.0167,147.3167,16.07,72,74,2.96,AU,1711447177
7,ranot,7.7777,100.3213,29.51,70,55,6.29,TH,1711447177
8,yorkton,51.2167,-102.4677,-20.09,71,0,2.06,CA,1711447178
9,isafjordur,66.0755,-23.124,-0.98,59,75,8.23,IS,1711447178
10,tazovsky,67.4667,78.7,-20.74,91,77,3.59,RU,1711447179
11,xingcheng,40.6167,120.7167,6.08,71,32,4.84,CN,1711447179
12,barcelona,41.3888,2.159,16.49,83,75,4.12,ES,1711446955
13,keflavik,64.0049,-22.5624,0.24,86,75,6.17,IS,1711447180
14,margaret river,-33.95,115.0667,19.51,68,2,5.23,AU,1711447181
15,cartagena,10.3997,-75.5144,25.79,89,20,2.06,CO,1711447181
16,port-aux-francais,-49.35,70.2167,3.56,67,98,16.32,TF,1711447182
17,porto novo,6.4965,2.6036,30.9,57,91,3.99,BJ,1711447182
18,kodiak,57.79,-152.4072,2.78,95,99,0.95,US,1711447183
19,kourou,5.1552,-52.6478,23.03,81,83,2.3,GF,1711447183
20,tonekabon,36.8163,50.8738,16.97,58,23,0.37,IR,1711447184
21,west island,-12.1568,96.8225,29.99,74,75,5.14,CC,1711447184
22,el calafate,-50.3408,-72.2768,10.38,85,52,3.47,AR,1711446938
23,avarua,-21.2078,-159.775,28.03,83,75,4.63,CK,1711447185
24,emerald,-23.5333,148.1667,26.86,67,97,5.9,AU,1711447064
25,yaren,-0.5472,166.916,28.06,78,97,4.49,NR,1711447186
26,nemuro,43.3236,145.575,-1.34,77,93,3.47,JP,1711447186
27,bardai,11.65,7.2333,33.84,7,33,4.5,NG,1711447187
28,port alfred,-33.5906,26.891,23.53,78,100,3.69,ZA,1711447187
29,grytviken,-54.2811,-36.5092,2.12,82,45,4.57,GS,1711447160
30,tolanaro,-25.0319,46.9987,24.92,66,87,6.64,MG,1711447188
31,tamanrasset,22.785,5.5228,23.95,22,79,3.6,DZ,1711447189
32,yarmouth,41.7057,-70.2286,4.0,80,100,12.52,US,1711447189
33,bamboo flat,11.7,92.7167,30.46,56,1,2.73,IN,1711447189
34,utrik,11.2278,169.8474,27.12,76,99,9.7,MH,1711447190
35,albany,42.6001,-73.9662,-0.99,83,7,0.69,US,1711446711
36,edinburgh of the seven seas,-37.0676,-12.3116,16.96,66,98,6.79,SH,1711447191
37,okhotsk,59.3833,143.3,-10.01,92,62,0.59,RU,1711447192
38,bredasdorp,-34.5322,20.0403,22.83,55,48,2.74,ZA,1711447192
39,asuncion nochixtlan,17.4667,-97.2333,11.89,27,99,2.25,MX,1711447192
40,saint-philippe,-21.3585,55.7679,28.77,66,100,6.48,RE,1711447193
41,waitangi,-43.9535,-176.5597,13.23,89,98,0.89,NZ,1711447193
42,ilulissat,69.2167,-51.1,-6.27,62,99,4.98,GL,1711447194
43,flying fish cove,-10.4217,105.6791,27.82,78,75,4.63,CX,1711447194
44,zhaotong,27.3167,103.7167,24.13,18,86,9.67,CN,1711447195
45,weno,7.4515,151.8468,28.97,89,75,4.12,FM,1711447195
46,stanley,54.868,-1.6985,7.77,96,75,4.63,GB,1711446933
47,daira din panah,30.5702,70.9361,38.28,14,96,2.41,PK,1711447196
48,nar'yan-mar,67.6713,53.087,-10.5,88,99,4.02,RU,1711447101
49,qaqortoq,60.7167,-46.0333,-7.32,73,33,4.19,GL,1711447197
50,hermanus,-34.4187,19.2345,21.56,68,76,2.89,ZA,1711447197
51,santyoku,37.4406,129.1708,4.35,79,28,2.27,KR,1711447198
52,puerto ayora,-0.7393,-90.3518,24.75,99,13,1.28,EC,1711447198
53,muynoq,43.7683,59.0214,14.24,51,99,11.95,UZ,1711447199
54,mocimboa,-11.3167,40.35,28.33,85,98,4.95,MZ,1711447200
55,st. john's,47.5649,-52.7093,-3.95,80,75,3.09,CA,1711447200
56,ushuaia,-54.8,-68.3,11.81,76,0,1.03,AR,1711447143
57,sovetskiy,61.3614,63.5842,0.5,99,100,3.13,RU,1711447202
58,hawaiian paradise park,19.5933,-154.9731,21.73,94,100,0.0,US,1711447204
59,puerto natales,-51.7236,-72.4875,9.07,99,100,0.95,CL,1711447208
60,geraldton,-28.7667,114.6,26.23,50,0,7.2,AU,1711447080
61,yellowknife,62.456,-114.3525,-8.66,90,20,4.47,CA,1711447131
62,sur,22.5667,59.5289,27.27,73,89,7.11,OM,1711447213
63,adamstown,-25.066,-130.1015,23.95,69,92,5.22,PN,1711447101
64,la'ie,21.6477,-157.9253,23.66,81,34,2.68,US,1711447215
65,susuman,62.7833,148.1667,-14.45,91,83,4.02,RU,1711447216
66,punta arenas,-53.15,-70.9167,12.06,76,0,6.69,CL,1711447211
67,new norfolk,-42.7826,147.0587,16.72,74,95,3.06,AU,1711447217
68,invercargill,-46.4,168.35,8.9,86,100,3.13,NZ,1711447218
69,kertih,4.5141,103.4483,31.01,70,20,2.68,MY,1711447219
70,labrador city,52.9463,-66.9114,-14.34,66,100,0.0,CA,1711447210
71,isetskoye,56.4858,65.3226,2.97,94,100,2.95,RU,1711447220
72,altai,46.3722,96.2583,0.63,36,52,7.51,MN,1711447221
73,alice springs,-23.7,133.8833,22.75,82,75,4.12,AU,1711447163
74,concepcion,-36.827,-73.0498,14.89,94,0,2.06,CL,1711446988
75,mazagao,-0.115,-51.2894,26.03,98,100,1.1,BR,1711447224
76,longyearbyen,78.2186,15.6401,-17.09,71,75,1.03,SJ,1711447225
77,koratla,18.8167,78.7167,40.31,14,5,2.77,IN,1711447226
78,petrovsk-zabaykal'skiy,51.273,108.843,3.88,59,100,2.53,RU,1711447227
79,ancud,-41.8697,-73.8203,13.95,96,77,4.21,CL,1711447227
80,polyarnyy,69.1989,33.4478,-8.46,69,96,2.61,RU,1711447228
81,papatowai,-46.5619,169.4708,7.8,85,100,1.44,NZ,1711447229
82,nova sintra,14.8667,-24.7167,19.14,74,100,12.29,CV,1711447230
83,antonio enes,-16.2325,39.9086,31.08,62,100,2.03,MZ,1711447230
84,nyurba,63.2842,118.3319,-13.01,93,100,5.35,RU,1711447231
85,udachny,66.4167,112.4,-17.75,85,100,5.45,RU,1711447232
86,georgetown,5.4112,100.3354,32.97,64,20,5.14,MY,1711447042
87,arapgir,39.0412,38.4952,6.25,46,16,9.27,TR,1711447234
88,port elizabeth,-33.918,25.5701,22.83,80,0,4.12,ZA,1711446893
89,kiunga,-6.1219,141.2906,26.06,92,96,1.1,PG,1711447235
90,peniche,39.3558,-9.3811,11.83,76,95,12.6,PT,1711447236
91,al mindak,20.1588,41.2834,22.78,17,0,5.11,SA,1711447236
92,iskateley,67.6803,53.1512,-10.55,88,99,4.02,RU,1711447237
93,tocopilla,-22.092,-70.1979,19.63,77,2,0.62,CL,1711447237
94,boyolangu,-8.1181,111.8935,26.26,88,100,2.23,ID,1711447238
95,port mathurin,-19.6833,63.4167,24.88,69,92,9.39,MU,1711447238
96,tralee,52.2704,-9.7026,6.14,93,100,3.6,IE,1711447188
97,naze,28.3667,129.4833,16.51,71,83,11.36,JP,1711447239
98,ulsan,35.5372,129.3167,7.03,79,95,3.76,KR,1711447219
99,malango,-2.9627,119.9001,23.97,98,98,1.15,ID,1711447240
100,saint-pierre,-21.3393,55.4781,28.82,48,20,13.89,RE,1711447241
101,itapirapua,-15.8233,-50.6133,21.42,94,100,0.92,BR,1711447241
102,launceston,-41.45,147.1667,15.8,58,8,5.14,AU,1711447242
103,guiuan,11.0333,125.7247,26.03,91,94,1.3,PH,1711447242
104,sosnovo-ozerskoye,52.5249,111.5418,3.38,48,100,3.1,RU,1711447243
105,pisco,-13.7,-76.2167,23.03,78,0,2.06,PE,1711447243
106,tura,25.5198,90.2201,29.6,37,31,2.77,IN,1711447244
107,greenville,35.6127,-77.3663,3.4,93,0,1.34,US,1711447203
108,fort st. john,56.2499,-120.8529,-3.06,74,75,3.09,CA,1711447214
109,mataram,-8.5833,116.1167,28.45,71,88,6.99,ID,1711447245
110,ribeira grande,38.5167,-28.7,16.54,67,40,11.83,PT,1711447246
111,inari,68.906,27.0288,-11.89,83,78,1.4,FI,1711447246
112,lydenburg,-25.0978,30.4597,25.18,27,0,1.79,ZA,1711447247
113,nadym,65.5333,72.5167,-12.81,93,100,7.96,RU,1711447247
114,houghton,47.1219,-88.569,2.79,98,100,2.24,US,1711447206
115,daru,-9.0763,143.2092,27.89,82,62,3.26,PG,1711447248
116,sao vicente,-23.9631,-46.3919,23.48,26,66,0.94,BR,1711447040
117,las tablas,7.7667,-80.2833,26.76,99,3,0.64,PA,1711447249
118,praia da vitoria,38.7333,-27.0667,15.42,72,40,7.8,PT,1711447249
119,ambon,-3.6954,128.1814,29.08,84,40,2.06,ID,1711447250
120,santa rosa,14.3122,121.1114,32.99,77,87,6.17,PH,1711447250
121,kingscliff,-28.2667,153.5667,22.63,100,100,8.75,AU,1711447251
122,olonkinbyen,70.9221,-8.7187,-3.6,58,68,4.53,SJ,1711447251
123,eyl,7.9803,49.8164,32.24,55,33,6.49,SO,1711447252
124,taoudenni,22.6783,-3.9836,26.81,21,4,6.46,ML,1711447252
125,hamilton,39.1834,-84.5333,10.42,89,100,10.8,US,1711447090
126,kuanda,56.3161,116.0806,-1.33,91,100,0.78,RU,1711447253
127,nosy varika,-20.5833,48.5333,26.94,57,96,3.61,MG,1711447253
128,port lincoln,-34.7333,135.8667,16.04,72,20,5.52,AU,1711447254
129,levuka,50.1834,-105.4011,-14.16,63,94,2.93,CA,1711447254
130,yuzhno-kurilsk,44.0306,145.8556,0.21,67,100,5.76,RU,1711447255
131,knyaze-volkonskoye,48.4642,135.4567,2.19,91,6,0.57,RU,1711447255
132,nacozari viejo,30.4,-109.65,3.37,79,54,2.78,MX,1711447257
133,bulayevo,54.9056,70.4439,0.13,100,100,4.56,KZ,1711447257
134,touros,-5.1989,-35.4608,28.48,75,100,4.91,BR,1711447258
135,saudarkrokur,65.7461,-19.6394,-11.33,82,15,2.98,IS,1711447258
136,malmberget,67.1753,20.6549,-9.69,67,0,2.06,SE,1711447259
137,hermoso campo,-27.6082,-61.3444,21.73,94,0,3.21,AR,1711447259
138,alamogordo,32.8995,-105.9603,5.68,64,20,3.6,US,1711447260
139,whitehorse,60.7161,-135.0538,0.43,74,75,3.6,CA,1711447260
140,boksitogorsk,59.474,33.8485,4.22,79,93,2.24,RU,1711447261
141,nuku'alofa,-21.1333,-175.2,26.19,100,100,1.03,TO,1711447201
142,minas de marcona,-15.2119,-75.1103,19.45,79,100,0.99,PE,1711447262
143,urengoy,65.9667,78.3667,-16.08,79,97,4.88,RU,1711447262
144,vorkuta,67.5,64.0,-11.28,81,100,1.86,RU,1711447263
145,iqaluit,63.7506,-68.5145,-14.15,72,75,12.35,CA,1711447103
146,sasebo,33.1592,129.7228,13.35,81,100,6.36,JP,1711447263
147,tsiombe,-25.3,45.4833,27.39,51,47,7.68,MG,1711447264
148,saldanha,-33.0117,17.9442,23.03,77,89,6.89,ZA,1711447265
149,hirara,24.8,125.2833,19.92,82,75,10.29,JP,1711447265
150,codrington,-38.2667,141.9667,15.62,73,61,3.01,AU,1711447266
151,quang ngai,15.1167,108.8,27.01,78,8,4.05,VN,1711447266
152,kerikeri,-35.2268,173.9474,15.51,85,2,1.88,NZ,1711447267
153,hailin,44.5833,129.4167,1.33,64,0,2.19,CN,1711447267
154,coquimbo,-29.9533,-71.3436,16.85,88,100,1.54,CL,1711447235
155,les cayes,18.2,-73.75,23.46,85,4,2.55,HT,1711447268
156,kuytun,54.3419,101.5036,-0.63,82,100,7.85,RU,1711447269
157,sao felix do xingu,-6.6447,-51.995,22.21,99,100,0.2,BR,1711447253
158,bahia de caraquez,-0.6,-80.4167,24.1,90,97,1.22,EC,1711447270
159,lhasa,29.65,91.1,10.8,16,92,0.58,CN,1711447271
160,castillos,-34.1667,-53.8333,14.91,82,66,0.92,UY,1711447271
161,chibougamau,49.9168,-74.3659,-4.21,54,40,4.63,CA,1711447272
162,ballina,-28.8667,153.5667,20.99,90,100,3.69,AU,1711447272
163,anadyr,64.75,177.4833,-22.72,76,75,7.0,RU,1711447272
164,sao joao da barra,-21.6403,-41.0511,24.05,92,100,1.58,BR,1711447273
165,vilyuchinsk,52.9306,158.4028,-0.85,81,96,1.44,RU,1711447273
166,hasaki,35.7333,140.8333,11.22,84,98,17.39,JP,1711447275
167,deschutes river woods,43.9915,-121.3584,1.84,74,26,1.34,US,1711447275
168,jakobstad,63.6749,22.7026,-1.65,56,52,1.12,FI,1711447276
169,ban ao nang,8.0458,98.8103,34.11,60,39,5.76,TH,1711447276
170,paradip garh,20.3167,86.6167,31.83,50,1,9.94,IN,1711447277
171,bilibino,68.0546,166.4372,-23.01,88,7,1.94,RU,1711447277
172,zaozersk,69.4005,32.4476,-8.93,72,98,1.57,RU,1711447278
173,luganville,-15.5333,167.1667,26.88,90,90,2.28,VU,1711447279
174,mount isa,-20.7333,139.5,28.87,61,75,3.09,AU,1711447248
175,alesund,62.4723,6.1549,5.05,53,0,2.06,NO,1711447043
176,east london,-33.0153,27.9116,20.52,100,20,1.03,ZA,1711447281
177,manta,-0.95,-80.7333,25.56,83,75,3.58,EC,1711447201
178,baruun-urt,46.6806,113.2792,-0.18,78,37,2.83,MN,1711447283
179,shingu,33.7333,135.9833,7.56,72,30,3.35,JP,1711447283
180,poltavka,54.3663,71.7632,-0.19,100,100,4.72,RU,1711447115
181,dunedin,-45.8742,170.5036,10.45,93,100,0.45,NZ,1711447285
182,badger,64.8,-147.5333,2.3,86,75,0.0,US,1711447285
183,hillsboro,45.5229,-122.9898,8.69,92,100,0.45,US,1711447105
184,gorele,41.0308,39.0031,12.47,51,52,1.25,TR,1711447286
185,tangalle,6.024,80.7911,33.09,71,45,4.51,LK,1711447287
186,enewetak,11.3474,162.3373,27.3,79,13,9.17,MH,1711447288
187,burang,30.25,81.1667,2.79,51,82,1.64,CN,1711447288
188,ixtapa,20.7,-105.2,14.74,79,15,1.75,MX,1711447288
189,melo,-32.3667,-54.1833,13.19,96,18,2.24,UY,1711447018
190,luau,-10.7073,22.2247,27.3,59,64,3.22,AO,1711447289
191,cold lake,54.4502,-110.2017,-7.03,68,75,5.66,CA,1711447286
